total plan length,run success,costs,time measures,pick counts,deliver counts,domain name,problem name,iteration time,transitions per iteration,planner name,search engine name,heuristic name
180,TRUE,"[1061, 2699, 4254, 6222, 7405, 8773, 10283, 11895, 13435, 14574, 15776, 16898, 17854, 19407, 20550, 21769, 23141, 24314]","[121.06369423866272, 242.12971019744873, 363.21261167526245, 484.2911274433136, 605.355218410492, 726.434897184372, 847.5185151100159, 968.6130528450012, 1089.7029013633728, 1210.7821974754333, 1331.8682036399841, 1452.9482865333557, 1574.0529601573944, 1695.154631137848, 1816.2519297599792, 1937.3499693870544, 2058.4500234127045, 2179.544642686844]","[7, 9, 13, 16, 20, 22, 22, 22, 25, 27, 29, 30, 30, 32, 33, 33, 34, 39]","[0, 3, 4, 8, 12, 13, 14, 14, 18, 19, 22, 25, 26, 26, 26, 27, 29, 33]",Cars,Cars 2,120,10,Search Based,UCT,None
180,TRUE,"[985, 2435, 4465, 5815, 7603, 9313, 10824, 12626, 14274, 15622, 16802, 18222, 19572, 20712, 21806, 23041, 24192, 25464]","[121.08399176597595, 242.1468813419342, 363.2292935848236, 484.3344168663025, 605.4023959636688, 726.4838914871216, 847.6018948554993, 968.6862833499908, 1089.7717893123627, 1210.8514716625214, 1331.9335248470306, 1453.020287513733, 1574.1222758293152, 1695.2242255210876, 1816.325427055359, 1937.4072551727295, 2058.5108194351196, 2179.620195388794]","[7, 11, 12, 17, 17, 20, 22, 22, 23, 25, 26, 30, 31, 32, 35, 36, 36, 38]","[1, 4, 6, 7, 7, 8, 10, 14, 16, 21, 22, 23, 23, 26, 28, 29, 31, 32]",Cars,Cars 2,120,10,Search Based,UCT,None
180,TRUE,"[916, 2359, 4252, 5850, 7208, 8294, 9678, 10912, 12293, 13459, 14558, 15822, 17012, 18270, 19704, 20824, 22117, 23088]","[121.06246209144592, 242.14802074432373, 363.2109065055847, 484.2663083076477, 605.3537847995758, 726.4240760803223, 847.4900755882263, 968.5838258266449, 1089.6679472923279, 1210.7379269599915, 1331.8195633888245, 1452.9179685115814, 1574.0219678878784, 1695.1060192584991, 1816.2025837898254, 1937.282663345337, 2058.389678955078, 2179.4853703975677]","[7, 11, 15, 20, 22, 24, 24, 25, 26, 27, 30, 32, 32, 34, 35, 35, 36, 38]","[0, 2, 6, 10, 12, 15, 17, 17, 19, 22, 23, 25, 25, 27, 27, 28, 30, 31]",Cars,Cars 2,120,10,Search Based,Greedy,None
180,TRUE,"[1025, 2500, 4305, 5803, 7088, 8596, 10109, 11363, 12857, 14125, 15487, 16706, 18000, 19144, 20498, 21495, 22769, 23880]","[121.07103657722473, 242.1190345287323, 363.21077609062195, 484.26467061042786, 605.3451595306396, 726.4259614944458, 847.5006151199341, 968.599054813385, 1089.6787357330322, 1210.7626826763153, 1331.843078136444, 1452.927114725113, 1573.9935374259949, 1695.1185147762299, 1816.2243857383728, 1937.3067955970764, 2058.415471315384, 2179.514703989029]","[8, 11, 15, 18, 20, 21, 24, 24, 27, 29, 30, 31, 31, 35, 35, 35, 36, 39]","[1, 2, 6, 8, 13, 14, 15, 19, 19, 21, 22, 23, 25, 27, 30, 30, 31, 31]",Cars,Cars 2,120,10,Search Based,Greedy,None
130,TRUE,"[886, 2957, 5635, 8944, 12298, 15778, 19275, 23072, 27015, 31349, 35756, 40090, 44827]","[121.0781352519989, 242.1659119129181, 363.248703956604, 484.32763290405273, 605.4138782024384, 726.512617111206, 847.6142680644989, 968.7180938720703, 1089.8149433135986, 1210.931291103363, 1332.028522014618, 1453.1447732448578, 1574.2680916786194]","[7, 11, 13, 15, 16, 16, 18, 20, 21, 21, 21, 21, 22]","[0, 1, 2, 3, 5, 5, 7, 8, 9, 10, 10, 10, 11]",Trucks and Drones,Trucks and Drones 3,120,10,Search Based,UCT,None
130,TRUE,"[877, 2867, 5633, 8884, 12215, 15545, 18973, 22823, 26984, 31548, 36187, 40617, 45326]","[121.08582711219788, 242.17024779319763, 363.25760436058044, 484.35658597946167, 605.4424452781677, 726.5373558998108, 847.6311452388763, 968.7252771854401, 1089.8244471549988, 1210.9317569732666, 1332.0500569343567, 1453.1445546150208, 1574.2495288848877]","[8, 11, 13, 15, 18, 19, 21, 21, 22, 23, 23, 23, 23]","[0, 1, 2, 3, 6, 7, 8, 8, 8, 8, 9, 10, 10]",Trucks and Drones,Trucks and Drones 3,120,10,Search Based,UCT,None
130,TRUE,"[832, 2835, 5433, 8578, 11848, 14813, 17988, 21489, 25227, 29343, 33534, 37380, 41921]","[121.08705544471741, 242.17529320716858, 363.2642550468445, 484.3488380908966, 605.4315888881683, 726.529673576355, 847.61283826828, 968.7085502147675, 1089.803039073944, 1210.9002795219421, 1332.011589050293, 1453.124056339264, 1574.222821712494]","[6, 9, 10, 12, 14, 16, 17, 18, 18, 18, 18, 18, 18]","[1, 2, 3, 4, 5, 8, 9, 10, 10, 11, 11, 11, 11]",Trucks and Drones,Trucks and Drones 3,120,10,Search Based,Greedy,None
130,TRUE,"[854, 2863, 5604, 8848, 12414, 16004, 19921, 24166, 28760, 33575, 38454, 42785, 47730]","[121.08008289337158, 242.16128993034363, 363.23041129112244, 484.32956647872925, 605.4325702190399, 726.513053894043, 847.6102879047394, 968.6946439743042, 1089.7824234962463, 1210.8804507255554, 1331.9839069843292, 1453.0869255065918, 1574.180964231491]","[5, 6, 8, 9, 11, 11, 14, 14, 14, 14, 15, 15, 16]","[0, 1, 2, 3, 4, 5, 6, 6, 6, 7, 8, 9, 9]",Trucks and Drones,Trucks and Drones 3,120,10,Search Based,Greedy,None
60,TRUE,"[165, 378, 588, 865, 1239, 1537]","[120.64336395263672, 241.71595573425293, 362.7869989871979, 483.8654398918152, 604.9466686248779, 726.0207915306091]","[4, 6, 8, 11, 16, 18]","[2, 6, 8, 10, 13, 16]",MotorCycles and Letters,MotorCycles and Letters 1,120,10,Search Based,UCT,None
60,TRUE,"[155, 411, 699, 1029, 1382, 1709]","[120.62591052055359, 241.69188475608826, 362.7579092979431, 483.8203995227814, 604.8860144615173, 725.9555447101593]","[3, 5, 10, 12, 16, 20]","[2, 4, 6, 10, 14, 16]",MotorCycles and Letters,MotorCycles and Letters 1,120,10,Search Based,UCT,None
